,TotalTransactions,income,riskscore,subscribed,opened,SCRate,TRate,return-N6M,return-HYG,return-IVV,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
44,1460.1802166270284,78292.3456,5,0,0,0.0,0.005,-0.016544,0.031439,0.090737,0,1,1,0,0
45,-2994.9883090559997,79514.55636,1,0,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
46,4068.00008208,467759.0213,1,1,0,0.03,0.0,0.007121,-0.022425,-0.04503,1,0,0,1,0
47,-977.809728183144,109524.8584,5,0,0,0.05,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,1,0,0,1,0
48,452.9201469527585,40412.26848,4,0,0,0.0,0.003,0.0,-0.044133,-0.05567999999999999,1,0,0,0,1
49,1515.3858287570124,77022.64637,4,1,0,0.04,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,0,1,0
50,-8095.1802527228465,1473693.1269999999,4,0,0,0.03,0.0,0.0,-0.044133,-0.05567999999999999,0,1,1,0,0
51,-778.4040616054717,253736.1643,3,0,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,1,0,1,0,0
52,6536.0374974467395,478026.8692,3,0,0,0.03,0.0,-0.006869999999999999,-0.011763499999999996,-0.012503000000000007,0,1,1,0,0
53,-82.43958677947168,39274.16861,3,0,0,0.0,0.003,0.0,-0.044133,-0.05567999999999999,0,1,0,1,0
54,-446.3086851734713,151902.5606,3,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
55,2989.6595402826742,324849.7613,3,0,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,0,1,0
56,-236.02634512500867,37604.28155,4,0,0,0.0,0.003,0.0,-0.044133,-0.05567999999999999,1,0,0,1,0
57,-878.3114099218445,77799.29888999999,4,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,0,1,1,0,0
58,1390.5067756544322,67106.26397999999,4,0,0,0.04,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,0,1,0
59,-1405.885611263966,303786.4477,5,0,0,0.05,0.0,0.0035605,-0.033279,-0.050355,1,0,1,0,0
